"","gene_id","NK1.count.txt","NK2.count.txt","T4.count.txt","T5.count.txt","T6.count.txt","symbols"
"110","ENSG00000005801",210,502,451,321,659,"ZNF195"
"111","ENSG00000005810",914,2856,2168,1592,1831,"MYCBP2"
"112","ENSG00000005812",250,783,580,348,579,"FBXL3"
"113","ENSG00000005844",376,1014,791,69,100,"ITGAL"
"114","ENSG00000005882",110,302,224,155,315,"PDK2"
"115","ENSG00000005884",172,411,297,116,1041,"ITGA3"
"116","ENSG00000005889",556,1642,1205,931,1735,"ZFX"
"117","ENSG00000005893",842,3596,1374,1107,1718,"LAMP2"
"118","ENSG00000005961",67,157,108,17,7,"ITGA2B"
"119","ENSG00000005981",13,3,1,4,10,"ASB4"
"120","ENSG00000006007",287,1041,465,244,596,"GDE1"
"121","ENSG00000006015",55,125,51,48,80,"REX1BD"
"122","ENSG00000006016",11,7,8,18,13,"CRLF1"
"123","ENSG00000006025",47,129,75,44,85,"OSBPL7"
"124","ENSG00000006042",138,286,446,294,1195,"TMEM98"
"125","ENSG00000006047",10,9,35,10,30,"YBX2"
"126","ENSG00000006059",0,6,0,3,2,"KRT33A"
"127","ENSG00000006062",56,133,86,63,101,"MAP3K14"
"128","ENSG00000006071",33,13,20,18,8,"ABCC8"
"129","ENSG00000006116",4,2,3,1,0,"CACNG3"
"130","ENSG00000006118",110,214,162,126,321,"TMEM132A"
"131","ENSG00000006125",763,2299,1533,1220,2078,"AP2B1"
"132","ENSG00000006128",3,5,4,10,3,"TAC1"
"133","ENSG00000006194",81,221,183,141,206,"ZNF263"
"134","ENSG00000006210",46,72,70,28,109,"CX3CL1"
"135","ENSG00000006282",120,397,191,188,346,"SPATA20"
"136","ENSG00000006283",85,45,143,73,129,"CACNA1G"
"137","ENSG00000006327",25,101,62,49,49,"TNFRSF12A"
"138","ENSG00000006377",11,7,9,6,3,"DLX6"
"139","ENSG00000006432",122,401,219,108,248,"MAP3K9"
"140","ENSG00000006451",200,718,376,334,394,"RALA"
"141","ENSG00000006453",58,203,177,78,337,"BAIAP2L1"
"142","ENSG00000006459",196,639,499,689,566,"KDM7A"
"143","ENSG00000006468",77,81,307,179,240,"ETV1"
"144","ENSG00000006530",112,284,265,191,308,"AGK"
"145","ENSG00000006534",70,219,78,54,124,"ALDH3B1"
"146","ENSG00000006555",20,34,37,6,43,"TTC22"
"147","ENSG00000006576",435,1315,759,331,642,"PHTF2"
"148","ENSG00000006606",10,2,1,4,1,"CCL26"
"149","ENSG00000006607",202,443,433,266,564,"FARP2"
"150","ENSG00000006611",36,67,115,22,331,"USH1C"
"151","ENSG00000006625",16,53,21,25,33,"GGCT"
"152","ENSG00000006634",80,192,169,97,181,"DBF4"
"153","ENSG00000006638",29,22,3,12,12,"TBXA2R"
"154","ENSG00000006652",106,260,204,108,232,"IFRD1"
"155","ENSG00000006659",1,2,5,6,24,"LGALS14"
"156","ENSG00000006695",106,225,179,110,188,"COX10"
"157","ENSG00000006704",146,301,303,191,484,"GTF2IRD1"
"158","ENSG00000006712",131,387,270,153,260,"PAF1"
"159","ENSG00000006715",460,1311,969,541,841,"VPS41"
"160","ENSG00000006740",60,92,87,60,169,"ARHGAP44"
"161","ENSG00000006744",197,539,303,191,343,"ELAC2"
"162","ENSG00000006747",57,61,228,7,36,"SCIN"
"163","ENSG00000006756",101,248,122,69,171,"ARSD"
"164","ENSG00000006757",18,59,51,38,101,"PNPLA4"
"165","ENSG00000006788",21,9,2,4,1,"MYH13"
"166","ENSG00000006831",225,703,477,307,572,"ADIPOR2"
"167","ENSG00000006837",14,21,19,15,26,"CDKL3"
"168","ENSG00000007001",3,5,4,3,1,"UPP2"
"169","ENSG00000007038",6,2,4,4,0,"PRSS21"
"170","ENSG00000007047",164,340,259,170,311,"MARK4"
"171","ENSG00000007062",61,236,382,206,1005,"PROM1"
"172","ENSG00000007080",38,100,40,39,65,"CCDC124"
"173","ENSG00000007129",5,16,2,5,1,"CEACAM21"
"174","ENSG00000007168",915,2442,2196,1496,2273,"PAFAH1B1"
"175","ENSG00000007171",15,7,15,21,24,"NOS2"
"176","ENSG00000007174",49,30,77,23,41,"DNAH9"
"177","ENSG00000007202",790,2491,1462,752,1300,"KIAA0100"
"178","ENSG00000007216",9,12,11,5,84,"SLC13A2"
"179","ENSG00000007237",320,1815,690,585,1013,"GAS7"
"180","ENSG00000007255",12,20,9,10,10,"TRAPPC6A"
"181","ENSG00000007264",46,68,24,9,4,"MATK"
"182","ENSG00000007306",12,11,106,4,51,"CEACAM7"
"183","ENSG00000007312",1,5,7,1,4,"CD79B"
"184","ENSG00000007314",20,4,9,20,4,"SCN4A"
"185","ENSG00000007341",99,235,189,197,234,"ST7L"
"186","ENSG00000007350",6,13,10,0,2,"TKTL1"
"187","ENSG00000007372",166,31,1374,57,38,"PAX6"
"188","ENSG00000007376",37,74,46,19,47,"RPUSD1"
"189","ENSG00000007384",76,217,110,147,152,"RHBDF1"
"190","ENSG00000007392",386,887,971,633,960,"LUC7L"
"191","ENSG00000007402",175,265,192,97,109,"CACNA2D2"
"192","ENSG00000007516",16,30,80,10,24,"BAIAP3"
"193","ENSG00000007520",21,64,26,25,54,"TSR3"
"194","ENSG00000007541",78,170,124,75,126,"PIGQ"
"195","ENSG00000007545",56,107,87,60,99,"CRAMP1"
"196","ENSG00000007866",209,490,253,212,367,"TEAD3"
"197","ENSG00000007908",10,4,5,5,4,"SELE"
"198","ENSG00000007923",149,410,250,191,380,"DNAJC11"
"199","ENSG00000007933",10,9,4,3,3,"FMO3"
"200","ENSG00000007944",240,604,513,236,650,"MYLIP"
"201","ENSG00000007952",5,11,15,2,12,"NOX1"
"202","ENSG00000007968",23,59,41,31,41,"E2F2"
"203","ENSG00000008018",201,593,374,258,477,"PSMB1"
"204","ENSG00000008056",12,19,22,37,37,"SYN1"
"205","ENSG00000008083",593,1441,1239,455,957,"JARID2"
"206","ENSG00000008086",182,309,439,304,427,"CDKL5"
"207","ENSG00000008118",14,12,13,4,3,"CAMK1G"
"208","ENSG00000008128",14,28,24,5,19,"CDK11A"
"209","ENSG00000008130",163,460,232,137,227,"NADK"
"210","ENSG00000008196",46,107,78,3,7,"TFAP2B"
"211","ENSG00000008197",3,2,4,2,1,"TFAP2D"
"212","ENSG00000008226",32,22,42,13,14,"DLEC1"
"213","ENSG00000008256",127,257,278,164,306,"CYTH3"
"214","ENSG00000008277",68,33,175,51,96,"ADAM22"
"215","ENSG00000008282",381,1323,738,511,926,"SYPL1"
"216","ENSG00000008283",47,216,121,47,119,"CYB561"
"217","ENSG00000008294",602,1572,1216,929,1567,"SPAG9"
"218","ENSG00000008300",104,100,144,77,129,"CELSR3"
"219","ENSG00000008311",212,162,552,353,826,"AASS"
"220","ENSG00000008323",52,148,92,18,107,"PLEKHG6"
"221","ENSG00000008324",46,83,61,29,45,"SS18L2"
"222","ENSG00000008382",27,41,30,13,21,"MPND"
"223","ENSG00000008394",66,124,124,119,247,"MGST1"
"224","ENSG00000008405",147,288,265,263,301,"CRY1"
"225","ENSG00000008438",0,0,1,2,0,"PGLYRP1"
"226","ENSG00000008441",106,313,467,862,679,"NFIX"
"227","ENSG00000008513",395,1526,540,373,926,"ST3GAL1"
"228","ENSG00000008516",66,166,94,4,17,"MMP25"
"229","ENSG00000008517",47,191,120,80,56,"IL32"
"230","ENSG00000008710",222,614,406,437,726,"PKD1"
"231","ENSG00000008735",36,21,21,10,33,"MAPK8IP2"
"232","ENSG00000008838",192,475,288,203,357,"MED24"
"233","ENSG00000008853",103,384,179,100,342,"RHOBTB2"
"234","ENSG00000008869",253,750,496,284,521,"HEATR5B"
"235","ENSG00000008952",513,1714,1179,948,1614,"SEC62"
"236","ENSG00000008988",1146,3325,2247,2209,3106,"RPS20"
"237","ENSG00000009307",1565,4999,3769,3839,5113,"CSDE1"
"238","ENSG00000009335",347,1098,845,480,1038,"UBE3C"
"239","ENSG00000009413",595,1799,1419,1444,1466,"REV3L"
"240","ENSG00000009694",49,41,149,115,87,"TENM1"
"241","ENSG00000009709",18,3,20,244,1,"PAX7"
"242","ENSG00000009724",6,5,2,0,2,"MASP2"
"243","ENSG00000009765",21,15,40,18,129,"IYD"
"244","ENSG00000009780",72,166,124,60,68,"FAM76A"
"245","ENSG00000009790",113,279,223,13,33,"TRAF3IP3"
